 ±º‰¥¡,CH1-æ‡¿Î1
1184.00135,-0.05745
1184.00235,-0.057203
1184.00335,-0.056935
1184.00435,-0.05663
1184.00535,-0.056321
1184.00635,-0.056041
1184.00735,-0.055807
1184.00835,-0.05563
1184.00935,-0.055546
1184.01035,-0.055555
1184.01135,-0.055594
1184.01235,-0.055692
1184.01335,-0.055807
1184.01435,-0.055933
1184.01535,-0.056038
1184.01635,-0.056125
1184.01735,-0.056226
1184.01835,-0.056339
1184.01935,-0.056445
1184.02035,-0.056569
1184.02135,-0.056683
1184.02235,-0.056772
1184.02335,-0.056827
1184.02435,-0.056831
1184.02535,-0.056789
1184.02635,-0.056684
1184.02735,-0.056555
1184.02835,-0.056377
1184.02935,-0.056187
1184.03035,-0.055988
1184.03135,-0.055798
1184.03235,-0.055595
1184.03335,-0.055378
1184.03435,-0.05516
1184.03535,-0.054945
1184.03635,-0.054725
1184.03735,-0.054533
1184.03835,-0.054334
1184.03935,-0.054133
1184.04035,-0.053914
1184.04135,-0.05364
1184.04235,-0.053314
1184.04335,-0.052927
1184.04435,-0.052514
1184.04535,-0.052052
1184.04635,-0.051553
1184.04735,-0.051023
1184.04835,-0.050471
1184.04935,-0.049946
1184.05035,-0.04944
1184.05135,-0.048987
1184.05235,-0.048574
1184.05335,-0.048177
1184.05435,-0.047828
1184.05535,-0.047543
1184.05635,-0.047366
1184.05735,-0.047306
1184.05835,-0.047344
1184.05935,-0.047485
1184.06035,-0.0477
1184.06135,-0.047993
1184.06235,-0.048349
1184.06335,-0.048746
1184.06435,-0.049161
1184.06535,-0.049583
1184.06635,-0.050008
1184.06735,-0.050401
1184.06835,-0.050761
1184.06935,-0.051068
1184.07035,-0.051333
1184.07135,-0.051533
1184.07235,-0.051653
1184.07335,-0.051721
1184.07435,-0.051757
1184.07535,-0.051776
1184.07635,-0.051783
1184.07735,-0.051792
1184.07835,-0.051811
1184.07935,-0.051845
1184.08035,-0.051895
1184.08135,-0.051942
1184.08235,-0.051975
1184.08335,-0.052012
1184.08435,-0.052055
1184.08535,-0.052138
1184.08635,-0.052251
1184.08735,-0.052413
1184.08835,-0.052613
1184.08935,-0.052834
1184.09035,-0.053035
1184.09135,-0.053199
1184.09235,-0.053305
1184.09335,-0.053309
1184.09435,-0.053223
1184.09535,-0.053038
1184.09635,-0.05277
1184.09735,-0.052411
1184.09835,-0.051989
1184.09935,-0.051512
1184.10035,-0.050986
1184.10135,-0.050416
1184.10235,-0.049784
1184.10335,-0.049092
1184.10435,-0.048367
1184.10535,-0.047615
1184.10635,-0.046878
1184.10735,-0.046177
1184.10835,-0.045519
1184.10935,-0.044946
1184.11035,-0.04445
1184.11135,-0.044028
1184.11235,-0.043682
1184.11335,-0.043406
1184.11435,-0.043204
1184.11535,-0.043069
1184.11635,-0.043009
1184.11735,-0.043022
1184.11835,-0.04312
1184.11935,-0.043299
1184.12035,-0.043521
1184.12135,-0.043793
1184.12235,-0.044104
1184.12335,-0.044447
1184.12435,-0.04483
1184.12535,-0.045239
1184.12635,-0.04568
1184.12735,-0.046142
1184.12835,-0.046635
1184.12935,-0.047144
1184.13035,-0.04765
1184.13135,-0.048148
1184.13235,-0.048607
1184.13335,-0.049027
1184.13435,-0.049413
1184.13535,-0.049765
1184.13635,-0.050129
1184.13735,-0.050484
1184.13835,-0.050829
1184.13935,-0.051138
1184.14035,-0.051397
1184.14135,-0.051606
1184.14235,-0.051761
1184.14335,-0.051874
1184.14435,-0.051966
1184.14535,-0.05205
1184.14635,-0.052118
1184.14735,-0.052165
1184.14835,-0.052222
1184.14935,-0.052262
1184.15035,-0.052273
1184.15135,-0.052238
1184.15235,-0.052114
1184.15335,-0.051906
1184.15435,-0.051622
1184.15535,-0.051295
1184.15635,-0.05095
